iter	Passed	Remaining
0	58	58493
1	108	54111
2	157	52505
3	209	52048
4	258	51474
5	311	51543
6	359	51060
7	411	50988
8	463	51025
9	510	50540
10	557	50144
11	608	50085
12	657	49937
13	706	49723
14	757	49769
15	806	49619
16	862	49886
17	909	49607
18	959	49519
19	1011	49568
20	1068	49817
21	1111	49421
22	1156	49144
23	1200	48804
24	1241	48432
25	1290	48350
26	1338	48234
27	1391	48312
28	1441	48259
29	1492	48271
30	1541	48180
31	1591	48136
32	1636	47941
33	1675	47593
34	1720	47448
35	1767	47318
36	1813	47187
37	1862	47158
38	1905	46956
39	1942	46617
40	1979	46309
41	2019	46056
42	2073	46140
43	2113	45915
44	2166	45977
45	2205	45744
46	2251	45657
47	2290	45427
48	2326	45149
49	2364	44927
50	2402	44710
51	2460	44857
52	2499	44662
53	2541	44529
54	2579	44319
55	2622	44202
56	2658	43974
57	2696	43787
58	2739	43700
59	2781	43582
60	2837	43673
61	2877	43526
62	2928	43548
63	2968	43411
64	3016	43386
65	3052	43196
66	3095	43110
67	3134	42964
68	3174	42831
69	3213	42694
70	3251	42545
71	3291	42424
72	3335	42361
73	3375	42235
74	3419	42171
75	3462	42095
76	3498	41942
77	3535	41795
78	3579	41725
79	3615	41583
80	3653	41453
81	3706	41496
82	3745	41383
83	3799	41432
84	3834	41277
85	3872	41152
86	3918	41119
87	3961	41056
88	4009	41041
89	4051	40961
90	4107	41032
91	4146	40927
92	4190	40864
93	4243	40902
94	4283	40810
95	4323	40710
96	4359	40585
97	4396	40462
98	4433	40350
99	4469	40227
100	4520	40237
101	4575	40281
102	4620	40237
103	4659	40139
104	4703	40090
105	4739	39975
106	4781	39901
107	4816	39779
108	4860	39729
109	4901	39656
110	4944	39597
111	4983	39509
112	5036	39531
113	5077	39463
114	5116	39378
115	5161	39331
116	5223	39422
117	5264	39351
118	5303	39263
119	5348	39219
120	5393	39181
121	5450	39223
122	5485	39112
123	5531	39075
124	5566	38967
125	5606	38887
126	5653	38865
127	5715	38934
128	5771	38966
129	5812	38896
130	5849	38803
131	5901	38807
132	5941	38734
133	5981	38659
134	6020	38577
135	6064	38529
136	6106	38468
137	6148	38407
138	6189	38338
139	6227	38253
140	6266	38175
141	6308	38119
142	6359	38110
143	6401	38053
144	6443	37997
145	6485	37935
146	6529	37890
147	6578	37870
148	6639	37923
149	6686	37891
150	6741	37902
151	6785	37856
152	6824	37778
153	6869	37735
154	6914	37693
155	6958	37649
156	7012	37652
157	7048	37563
158	7105	37584
159	7142	37496
160	7183	37432
161	7217	37336
162	7255	37255
163	7294	37184
164	7342	37159
165	7385	37103
166	7427	37049
167	7464	36967
168	7505	36906
169	7562	36924
170	7600	36849
171	7640	36782
172	7685	36740
173	7729	36691
174	7770	36631
175	7814	36585
176	7852	36510
177	7893	36451
178	7947	36451
179	8001	36450
180	8052	36436
181	8094	36380
182	8130	36300
183	8188	36314
184	8234	36275
185	8280	36240
186	8328	36209
187	8367	36142
188	8411	36092
189	8452	36036
190	8488	35955
191	8543	35952
192	8582	35885
193	8632	35863
194	8679	35830
195	8733	35825
196	8774	35767
197	8814	35701
198	8862	35671
199	8903	35614
200	8949	35574
201	8996	35541
202	9038	35487
203	9080	35433
204	9117	35356
205	9157	35295
206	9201	35249
207	9240	35185
208	9291	35164
209	9334	35116
210	9380	35074
211	9423	35026
212	9462	34963
213	9513	34943
214	9564	34920
215	9602	34855
216	9642	34791
217	9682	34731
218	9718	34658
219	9760	34606
220	9799	34542
221	9846	34506
222	9883	34436
223	9923	34376
224	9961	34311
225	10001	34254
226	10040	34191
227	10079	34129
228	10117	34062
229	10160	34015
230	10204	33969
